sentence,label,idx
hide new secretions from the parental units ,[0 1 0 0],0
"contains no wit , only labored gags ",[0 1 0 1],1
that loves its characters and communicates something rather beautiful about human nature ,[1 1 0 0],2
remains utterly satisfied to remain the same throughout ,[0 1 0 1],3
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,[0 1 0 1],4
that 's far too tragic to merit such superficial treatment ,[0 1 0 0],5
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",[1 1 0 1],6
of saucy ,[1 1 0 0],7
a depressed fifteen-year-old 's suicidal poetry ,[0 1 1 0],8
are more deeply thought through than in most ` right-thinking ' films ,[1 1 0 1],9
goes to absurd lengths ,[0 1 0 1],10
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,[0 1 0 1],11
"the part where nothing 's happening , ",[0 1 0 1],12
saw how bad this movie was ,[0 1 0 1],13
lend some dignity to a dumb story ,[0 1 0 0],14
the greatest musicians ,[1 1 0 1],15
cold movie ,[0 1 0 1],16
with his usual intelligence and subtlety ,[1 1 0 1],17
redundant concept ,[0 1 0 1],18
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",[1 1 0 0],19
equals the original and in some ways even betters it ,[1 1 0 1],20
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",[1 0 0 0],21
a smile on your face ,[1 1 0 0],22
"comes from the brave , uninhibited performances ",[1 1 0 0],23
excruciatingly unfunny and pitifully unromantic ,[0 1 0 0],24
enriched by an imaginatively mixed cast of antic spirits ,[1 1 0 0],25
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",[0 1 0 1],26
in world cinema ,[1 1 1 1],27
very good viewing alternative ,[1 1 0 1],28
"the plot is nothing but boilerplate clichés from start to finish , ",[0 1 0 1],29
the action is stilted ,[0 1 0 1],30
on all cylinders ,[1 1 1 1],31
"will find little of interest in this film , which is often preachy and poorly acted ",[0 1 0 1],32
by far the worst movie of the year ,[0 1 0 0],33
"sit through , ",[0 1 0 1],34
more than another `` best man '' clone by weaving a theme throughout this funny film ,[1 1 0 1],35
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,[1 1 0 1],36
heroes ,[1 1 0 0],37
oblivious to the existence of this film ,[0 1 0 1],38
sharply ,[1 1 0 1],39
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",[0 1 0 1],40
sometimes dry ,[0 1 0 1],41
"as they come , already having been recycled more times than i 'd care to count ",[0 1 0 1],42
"covers this territory with wit and originality , suggesting that with his fourth feature ",[1 1 0 1],43
a $ 40 million version of a game ,[0 0 1 1],44
gorgeous and deceptively minimalist ,[1 1 0 0],45
cross swords with the best of them and ,[1 1 0 1],46
as a fringe feminist conspiracy theorist ,[0 1 0 1],47
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",[1 1 0 1],48
disappointments ,[0 1 0 0],49
the horrors ,[0 1 0 0],50
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,[1 1 0 0],51
many pointless ,[0 1 0 1],52
a beautifully ,[1 1 0 0],53
"contrived , well-worn situations ",[0 1 0 1],54
a doa ,[0 1 0 0],55
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,[0 1 0 0],56
to be as subtle and touching as the son 's room ,[1 1 0 0],57
starts with a legend ,[1 1 0 1],58
far less sophisticated and ,[0 1 0 1],59
rich veins of funny stuff in this movie ,[1 1 0 0],60
no apparent joy ,[0 1 1 1],61
shot on ugly digital video ,[0 0 0 1],62
